Aeroflot - Russian Airlines,AFL,SU,AEROFLOT,Russian Federation,http://www.aeroflot.com
Aeroflot Cargo,RCF,SU,AEROFLOT CARGO,Russian Federation,
Aeroflot-Nord,AUL,5N,DVINA,Russian Federation,http://www.aeroflot-nord.ru
Aerogaviota,GTV,,,Cuba,
Aeroland,AEN,3S,,Greece,http://www.aeroland.gr
Aerolineas Argentinas,ARG,AR,ARGENTINA,Argentina,http://www.aerolineas.com
Aerolineas Del Sureste,SUE,,,Mexico,
Airline_name,ICAO,IATA,Callsign,Country,Website
Aerolineas Internacionales,LNT,N2,,Mexico,
Aerolineas Peruanas,,EP,,Peru,
Aerolíneas Sudamericanas,ASK,AS,SUDAMERICANA,Bolivia,
AeroLogic,BOX,3S,GERMAN CARGO,Germany,http://www.aerologic.aero
Aeromar,TAO,VW,AEROMAR,Mexico,https://www.aeromar.com.mx/
Aéromaritime,QKL,OV,AEROMAR,France,
Aeroméxico,AMX,AM,AEROMEXICO,Mexico,https://www.aeromexico.com/
AeroMéxico Express,,,,Mexico,
Aeromextour,,,,Mexico,
Aeromonterrey,MOT,,,Mexico,
Aeronaves del Perú,WPL,XX,PERU,Peru,
Aeronexus Corporation,ARN,,AERONEX,South Africa,https://aeronexus.aero/
Aeronova,OVA,,AERONOVA,Spain,http://www.aeronova.com
Aeroperú,PLI,PL,AEROPERU,Peru,
Aeroposta,RPO,,,Argentina,
Aeropostal Cargo de Mexico,PCG,,POSTAL CARGO,Mexico,
AeroRescue,,,,Australia,http://www.aerorescue.com.au/
Aerostar,UAR,,AEROSTAR,Ukraine,http://www.aerostar.com.ua/en
Aerosur,RSU,5L,AEROSUR,Bolivia,http://www.aerosur.com/
AeroSvit Airlines,AEW,VV,AERO SVIT,Ukraine,http://www.aerosvit.com
Aerotour,,,,France,
Aerotranscargo,ATG,,MOLDCARGO,"Moldova, Republic Of",
AeroUnion,TNO,6R,AEROUNION,Mexico,http://www.aerounion.com.mx
Aerovias DAP,DAP,,,Chile,http://www.aeroviasdap.cl
AeroVIP,AOG,2D,AVIP,Argentina,
Aerovista Airlines,AAP,,,Kyrgyzstan,
Aerovolga,VOG,,,Russian Federation,
Affretair,AFM,AG,AFRO,Zimbabwe,
Afric Aviation,EKG,L8,,Gabon,http://www.africaviation.com/
Africa Charter Services,AFY,,,Nigeria,
Africa West,WTA,FK,,Togo,
African Air Charter (AAC),,,,Zaire,
African International Airways,AIN,,,Swaziland,
African Star Airways,ASG,4M,,South Africa,
Afrijet Business Service,ABS,J7,,Gabon,http://afrijet.com/
Afriqiyah Airways,AAW,8U,AFRIQIYAH,Libya,http://www.afriqiyah.aero/
AG Air,AGA,,,Georgia,
Aigle Azur,AAF,ZI,AIGLE AZUR,France,http://www.aigle-azur.com/
Air 2000 Canada,,,,Canada,
Air Affaires Afrique,,6R,,Cameroon,
Air Aland,,,,Finland,
Air Albatros,,,,Croatia,http://www.air-albatros.hr
Air Algérie,DAH,AH,AIR ALGERIE,Algeria,https://www.airalgerie.dz/
Air Almaty ZK,LMZ,,ALUNK,Kazakhstan,
Air Alps Aviation,LPV,A6,AIR ALPS,Austria,http://www.airalps.at
Air Anatolia,NTL,TD,AIR ANATOLIA,Turkey,
Air Annobón,,,,Equatorial Guinea,
Air Arabia,ABY,G9,ARABIA,United Arab Emirates,http://www.airarabia.com
Air Arabia Jordan,JAD,9P,,Jordan,http://www.airarabia.com
Air Armenia,ARR,QN,AIR ARMENIA,Armenia,http://www.airarmenia.net/
Aerolineas Latinas,LTN,,,Venezuela,
Aerolineas Sosa,NSO,,,Honduras,
Aerolitoral,SLI,5D,COSTERA,Mexico,http://www.aerolitoral.com
Aerolyon,AEY,4Q,,France,
Aeromar Airlines,ROM,BQ,,Dominican Republic,
Aeromaster del Peru,,,,Peru,
Aeroméxico Connect,SLI,5D,COSTERA,Mexico,http://www.amconnect.com
Aeroméxico Travel,ATE,AM,TRAVEL,Mexico,http://www.aeromexico.com
Aeromist-Kharkiv,AHW,,,Ukraine,
Aeronaves de México,,,,Mexico,
Aeronaves TSM,VTM,,AERONAVES TSM,Mexico,http://www.aeronavestsm.com/indexing.htm
Aeronorte,ANR,,,Colombia,
Aeroperlas,APP,WL,AEROPERLAS,Panama,http://www.aeroperlas.com/
Aeropesca Colombia,,RS,,Colombia,
Aeropostal,ALV,VH,AEROPOSTAL,Venezuela,http://www.aeropostal.com
Aeroquetzal,,AW,AEROQUETZAL,Guatemala,
Aerospace One,OAN,,HELLAS CARGO,Greece,
Aerosucre,KRE,6C,,Colombia,
Aerosur Paraguay,,,,Paraguay,
Aerosweet Airlines,AEW,VV,,Ukraine,
Aerotours Dominicana,ATD,,,Dominican Republic,
Aerotropical,TOC,,TROPICMEX,Mexico,
Aerovías,AOQ,XU,AEROVIAS,Guatemala,
Aerovías Quisqueyana,QAS,QQ,,Dominican Republic,
Aerovista,,,,United Arab Emirates,http://www.aerovista.aero/
Aerovista Gulf Express,VGF,,VISTA GULF,United Arab Emirates,http://www.aerovista.net/
Aerowings,AWG,,,Antigua And Barbuda,
Afghan Jet International,AJI,HN,,Afghanistan,http://www.flyaji.com/
Africa Charter Airline,FSK,,AFRICAN SKY,South Africa,http://www.africacharterairline.com
Africa One,CFR,,,Uganda,
Africa World Airlines,AFW,AW,BLACKSTAR,Ghana,http://www.flyafricaworld.com/
African Express Airways,AXK,XU,,Kenya,http://www.africanexpress.net/
African Safari Airways (ASA),QSC,QS,ZEBRA,Kenya,http://www.ascag.net
Afrijet Airlines,FRJ,,AFRIJET,Nigeria,
Afrinat International Airlines,AFU,Q9,,Ghana,
Afrique Airlines,FBN,X5,AFRIQUE BENIN,Benin,
Agroar - Trabalhos Aereos,GRR,,,Portugal,
Air 2000,AMM,DP,JETSET,United Kingdom,http://www.air2000.com
Air Adriatic,AHR,,ADRIATIC,Croatia,http://www.airadriatic.com
Air Afrique,RKA,RK,AIRAFRIC,Cote d'Ivoire,
Air Albania,,,,Albania,
Air Alfa,LFA,H7,,Turkey,
Air Alliance,GGN,ZX,,Canada,
Air Alpes,CCV,LP,,Switzerland,
Air Ambar,AMY,,,Dominican Republic,
Air Andaman,AOW,2Y,AIR ANDAMAN,Thailand,
Air Antilles Express,GUY,3S,GREEN BIRD,Guadeloupe,http://www.airantilles.com
Air Arabia Egypt,RBG,E5,AIR ARABIA,Egypt,http://www.airarabia.com
Air Arabia Maroc,MAC,3O,ARABIA MAROC,Morocco,http://www.airarabia.com
Air Aruba,ARU,FQ,,Aruba,http://htttp://www.air-aruba.com/
Airline_name,ICAO,IATA,Callsign,Country,Website
Air Asiatic,,,,India,
Air Asturias,LTE,,AIR ASTURIAS,Spain,
Air Atlanta Europe,EUK,,,United Kingdom,
Air Atlantic,ATL,9A,,Canada,
Air Atlantique / Atlantic Air Transport,AAG,KI,ATLANTIC,United Kingdom,
Air Atlas Express,AXP,,,Morocco,
Air Austral,REU,UU,REUNION,Reunion,http://www.air-austral.com
Air Bagan,JAB,W9,AIR BAGAN,Myanmar,http://www.airbagan.com
Air Bangladesh,BGD,B9,AIR BANGLA,Bangladesh,
Air Batumi,BTM,,,Georgia,
Air Bee,OBE,BM,AIRBEE,Italy,
Air Belgium,ABB,AJ,,Belgium,
Air Berlin Turkey,,,,Turkey,
Air Bishkek,EAA,KR,EASTOK,Kyrgyzstan,http://www.airbishkek.kg/
Air Botnia,KFB,KF,,Finland,
Air Bourbon,BUB,ZN,,Reunion,http://www.air-bourbon.com
Air Bremen,BRN,HR,,Germany,
Air Bucharest,BUR,,AIR BUCHAREST,Romania,http://www.airbucharest.ro/
Air Busan,ABL,BX,AIR BUSAN,"Korea, Republic Of",https://www.airbusan.com/
Air Caledonia,ACM,,WEST CAL,Canada,
Air California,ACL,OC,,United States,
Air Canada Jazz,JZA,QK,JAZZ,Canada,http://www.flyjazz.ca
Air Canada Rouge,ROU,RV,ROUGE,Canada,http://www.aircanadarouge.com/
Air Caraïbes,FWI,TX,FRENCH WEST,Guadeloupe,http://www.aircaraibes.com
Air Cargo Mongolia,,,,Mongolia,http://www.aircargo.mn/
Air Caribbean,CBB,C2,,Trinidad And Tobago,
Air Caucasus,CSG,,GEOCAUCASUS,Georgia,http://aircaucasus.com/
Air Central (ANA),CRF,NV,AIR CENTRAL,Japan,http://www.air-central.co.jp
Air Ceylon,,AE,,Sri Lanka,
Air Charter,ACF,SF,AIR CHARTER,France,
Air Charter Express,ACE,,,Ghana,
Air China,CCA,CA,AIR CHINA,China,http://www.airchina.com.cn
Air China Inner Mongolia,CNM,,MENGYUAN,China,
Air Columbus,CNB,BO,,Portugal,
Air Comet Chile,DLU,3I,DEL SUR,Chile,
Air Congo,,9Q,,Congo,
Air Contractors,ABR,AG,CONTRACT,Ireland,http://www.aircontractors.com
Air Corsica,CCM,XK,CORSICA,France,http://www.aircorsica.com/
Air Costa Rica,RII,,TICA,Costa Rica,
Air Creebec,CRQ,YN,CREE,Canada,http://www.aircreebec.ca/
Air Cuenca,,,,Ecuador,
Air Deccan,DKN,DN,,India,http://www.airdeccan.net
Air Dolomiti,DLA,EN,DOLOMITI,Italy,http://www.airdolomiti.eu/
Air Efata,EPA,W2,EFATA,Indonesia,http://www.airefata.com
Air Engiadina,RQX,RQ,ENGIADINA,Switzerland,
Air Europa Express,PMI,,,Spain,
Air Europe SpA,AEL,PE,AIR EUROPE,Italy,http://www.aireurope.it
Air Express,AEJ,ZG,,"Tanzania, United Republic Of",
Air Finland,FIF,OF,AIR FINLAND,Finland,http://www.airfinland.fi
Air Florida,FLA,QH,PALM,United States,
Air Astana,KZR,KC,ASTANALINE,Kazakhstan,https://airastana.com/
Air Atlanta,CRB,,,United States,
Air Atlanta Icelandic,ABD,CC,ATLANTA,Iceland,http://www.atlanta.is
Air Atlantique (France),APB,4Q,CHARENTE,France,
Air Atlantis,AIA,EJ,AIR ATLANTIS,Portugal,
Air Atonabee,OUL,OU,,Canada,
Air Australia,AGC,VC,,Australia,http://www.airaustralia.com/
Air Baltic,BTI,BT,AIRBALTIC,Latvia,https://www.airbaltic.com/
Air Bashkortostan,BBT,ZU,AGYDAL,Russian Federation,
Air BC,ABL,ZX,AIRCOACH,Canada,
Air Belgium,ABB,KF,AIR BELGIUM,Belgium,http://www.airbelgium.com/
Air Berlin,BER,AB,AIR BERLIN,Germany,http://www.airberlin.com/
Air Berlin USA,BER,AB,AIR BERLIN,United States,
Air Bosna,BON,JA,,Bosnia And Herzegovina,http://www.airbosna.ba
Air Botswana,BOT,BP,BOTSWANA,Botswana,http://www.airbotswana.co.bw
Air Brasil,BSL,,,Brazil,
Air Bristol,AZX,7L,,United Kingdom,
Air Burkina,VBW,2J,BURKINA,Burkina Faso,http://www.air-burkina.com
Air Cairo,MSC,SM,AIR CAIRO,Egypt,http://www.flyaircairo.com/
Air Calédonie,TPC,TY,AIRCAL,New Caledonia,http://www.air-caledonie.nc/
Air Canada,ACA,AC,AIR CANADA,Canada,https://www.aircanada.com/
Air Canada Jetz,,,,Canada,http://www.aircanada.com/acfamily/jetz/
Air Canada Tango,,,,Canada,http://www.flytango.com
Air Cargo Egypt,IAK,CC,AIR CARGO EGYPT,Egypt,
Air Cargo Plus,ACH,,,Liberia,
Air Carnival,ACV,2S,,India,http://www.aircarnival.in/
Air Centafrique,,QR,,Central African Republic,
Air Century,CEY,Y2,CENTURYFLIGHT,Dominican Republic,
Air Changan,CGN,9H,CHANG AN,China,http://www.airchangan.com/
Air Charter Africa,ACE,,,Gambia,
Air Chathams,CVA,CV,CHATHAM,New Zealand,https://www.airchathams.co.nz/
Air China Cargo,CAO,CA,AIRCHINA FREIGHT,China,http://www.airchinacargo.com/
Air Club International,CLI,,,Canada,
Air Comet,MPD,A7,RED COMET,Spain,http://www.aircomet.com
Air Comores,,OR,,Comoros,
Air Congo,,QC,,"Congo, The Democratic Republic Of The",
Air Corridor,CRD,QC,AIR CORRIDOR,Mozambique,
Air Costa,LEP,LB,LECOSTA,India,http://www.aircosta.in/
Air Côte d'Ivoire,VRE,HF,COTE D'IVOIRE,Cote d'Ivoire,http://www.aircotedivoire.com/
Air Croatia,,,,Croatia,http://www.aircroatia.eu/
Air Dabia,DBG,,,Gambia,
Air Djibouti,DJU,DY,AIR DJIB,Djibouti,http://www.air-djibouti.com/
Air Dominicana,RDO,ED,AIRDOM,Dominican Republic,http://www.airdominicana.com.do/
Air Emilia,,6N,,Italy,
Air Europa,AEA,UX,EUROPA,Spain,http://www.aireuropa.com
Air Europe,AEL,AE,AIR EUROPE,United Kingdom,
Air Exel Netherlands,AXL,XT,EXEL COMMUTER,Netherlands,
Air Express,AEQ,,LUNA,Sweden,http://www.airexpress.se
Air Fleets International,,,,United States,
Air Foyle,UPA,GS,,United Kingdom,
Airline_name,ICAO,IATA,Callsign,Country,Website
Air Foyle - Sunjet,,,,United Kingdom,
Air Freight Express,AFX,,,United States,
Air Gabon Cargo,,PG,,Gabon,
Air Georgia,AGF,ZX,AIR GEORGIA,Georgia,http://airgeorgia.com.ge/
Air Ghana,GHN,,AIR GHANA,Ghana,http://www.airghana.com/
Air Global,,,,Portugal,
Air Go Egypt,AGY,,,Egypt,
Air Greece - Aerodromisis,AGJ,JG,,Greece,
Air Guadeloupe,AGU,OG,,Guadeloupe,
Air Guinée,GIB,GI,AIR GUINEE,Guinea,
Air Guinée International,,,,Guinea,
Air Guyane,GUY,GG,,French Guiana,
Air Hawaii,AHC,,,United States,
Air Holland,AHD,GG,AIR HOLLAND,Netherlands,
Air Hong Kong,AHK,LD,AIR HONG KONG,Hong Kong,http://www.airhongkong.com.hk
Air Horizont,HAT,,SKY RUNNER,Spain,https://www.airhorizont.com/
Air Independence,JTV,,,Germany,
Air India Express,AXB,IX,EXPRESS INDIA,India,http://www.airindiaexpress.in
Air Indus,MPK,,,Pakistan,http://www.airindus.com.pk/
Air Inter,ITF,IT,AIR INTER,France,
Air Inter Europe,ITF,IT,,France,
Air Inter1,HRV,,SAHARA-SERVICE,Chad,http://www.airinter1.com/
Air Italica,,,,Italy,
Air Italy Polska,AEI,4Q,POLISH BIRD,Poland,http://www.airitalypolska.com
Air Jamaica,AJM,JM,JAMAICA,Jamaica,http://www.airjamaica.com
Air Jet,AIJ,BC,,France,
Air Kazakstan,KZK,9Y,,Kazakhstan,
Air Kiribati,AKL,IK,KIRIBATI,Kiribati,http://www.airkiribati.com.ki/
Air Kosova,,,,Yugoslavia,
Air Leap,LPA,,,Sweden,https://www.airleap.se/
Air Leone,RLL,,,Sierra Leone,
Air Liberia,ALI,NL,,Liberia,
Air Liberte Tunisie,LBT,BJ,,Tunisia,
Air Lithuania,KLA,TT,KAUNAS,Lithuania,
Air Lituanica,LTU,LT,LITUANICA,Lithuania,http://www.airlituanica.com
Air Luxor,LXR,LK,AIRLUXOR,Portugal,http://www.airluxor.com
Air Madagascar,MDG,MD,AIR MADAGASCAR,Madagascar,https://airmadagascar.com/
Air Madrid,DRD,NM,ALADA AIR,Spain,http://www.airmadrid.com
Air Maldives,AMI,L6,AIR MALDIVES,Maldives,
Air Mali,CMM,I5,CAMALI,Mali,http://www.camaero.com
Air Manas,MBB,,AIR MANAS,Kyrgyzstan,
Air Manila,,UM,,Philippines,
Air Margarita,MAG,,,Venezuela,
Air Marshall Islands,MRS,CW,,Marshall Islands,
Air Mauritanie,MRT,MR,MIKE ROMEO,Mauritania,http://www.airmauritanie.mr
Air Max Africa,,,,Gabon,
Air Méditerranée,BIE,DR,MEDITERRANEE,France,http://www.air-mediterranee.fr/
Air Memphis,MHS,E9,AIR MEMPHIS,Egypt,http://www.air-memphis.com
Air Meuse,AMZ,,,Belgium,
Air Midwest,,,,Nigeria,http://www.airmidwestng.com
Air France,AFR,AF,AIR FRANCE,France,https://www.airfrance.com/
Air Gabon,AGN,GN,,Gabon,
Air Gemini,GLL,,,Angola,
Air Georgian,GGN,ZX,GEORGIAN,Canada,
Air Glaciers,AGV,7T,,Switzerland,
Air Go Airlines,AGS,4A,AIRGO CARGO,Greece,
Air Great Wall,CGW,,,China,
Air Greenland,GRL,GL,GREENLAND,Greenland,http://www.airgreenland.com
Air Guilin,CGH,GT,WELKIN,China,http://www.airguilin.com/
Air Guinée Express,GIP,2U,,Guinea,
Air Gulf Falcon,GLN,QL,,Swaziland,
Air Haiti,HJA,HJ,,Haiti,
Air Holland,HLN,GG,ORANGE,Netherlands,http://www.airholland.nl
Air Hollandia,HLA,,HOLLANDIA,Netherlands,
Air Horizons,EUH,RN,,France,
Air Incheon,,,,"Korea, Republic Of",http://www.air-incheon.com/
Air India,AIC,AI,AIRINDIA,India,http://www.airindia.com
Air India Regional,LLR,9I,ALLIED,India,
Air Industria,IDU,7Y,,Italy,
Air Inter Cameroon,ICM,,,Cameroon,
Air Inter Gabon,AIG,,,Gabon,
Air Inuit,AIE,3H,INUIT,Canada,http://www.airinuit.com/
Air Italy,ISS,IG,AIR ITALY,Italy,https://www.airitaly.com/
Air Ivoire,VUN,VU,,Cote d'Ivoire,http://www.airivoire.com
Air Jamaica Express,JMX,JQ,,Jamaica,
Air Kasaï,,,,"Congo, The Democratic Republic Of The",http://www.airkasai.cd
Air KBZ,KBZ,K7,JADE AIR,Myanmar,
Air Koryo,KOR,JS,AIR KORYO,"Korea, Democratic People's Republic Of",http://www.korea-dpr.com//Air%20Koryo/index.htm
Air Lanka,ALK,UL,,Sri Lanka,
Air Leisure,ALD,AL,AIR LEISURE,Egypt,http://www.air-leisure.com/
Air Lib,LIB,IW,,France,
Air Liberté,LIB,IJ,,France,
Air Libya,TLR,7Q,,Libya,
Air Littoral,LIT,FU,,France,
Air Luso,,,,Canada,
Air Macau,AMU,NX,AIR MACAU,Macao,http://www.airmacau.com.mo
Air Madeira,MMZ,MM,,Portugal,
Air Malawi,AML,QM,,Malawi,http://www.airmalawi.net
Air Mali,MLI,L9,,Mali,
Air Malta,AMC,KM,AIR MALTA,Malta,https://www.airmalta.com/
Air Mandalay,AMY,6T,AIR MANDALAY,Myanmar,http://www.airmandalay.com
Air Manitoba,NAM,7N,MANITOBA,Canada,
Air Mark Indonesia,,,,Indonesia,
Air Martinique,MTQ,NN,,Martinique,
Air Mauritius,MAU,MK,AIR MAURITIUS,Mauritius,http://www.airmauritius.com
Air Mediterranean,MAR,MV,HELLASMED,Greece,https://www.air-mediterranean.com/
Air Mekong,MKG,P8,AIR MEKONG,Viet Nam,http://www.airmekong.vn
Air Mercury,MEC,4X,,United States,
Air Midi Bigorré,BIE,,,France,
Air Midwest,AMW,ZV,,United States,
Airline_name,ICAO,IATA,Callsign,Country,Website
Air Miles,,,,Greece,
Air Moldova,MLD,9U,AIR MOLDOVA,"Moldova, Republic Of",https://www.airmoldova.md/
Air Namibia,NMB,SW,NAMIBIA,Namibia,http://www.airnamibia.com
Air Nauru,RON,ON,AIR NAURU,Nauru,http://www.airnauru.com.au
Air New Zealand,ANZ,NZ,NEW ZEALAND,New Zealand,http://www.airnewzealand.com
Air Niamey,AWN,A7,AIR NIAMEY,Niger,
Air Nigeria,NGP,VK,REGAL EAGLE,Nigeria,http://www.myairnigeria.com/
Air Nippon Network,AKX,EH,ALFA WING,Japan,
Air North,ANT,4N,AIR NORTH,Canada,http://www.flyairnorth.com/
Air Nova,ARN,QK,NOVA,Canada,
Air One,,,,Sweden,
Air One CityLiner,ADH,AP,HERON,Italy,
Air One Nine,ONR,N6,EDER,Libya,
Air Ontario,ONT,GX,ONTARIO,Canada,
Air Ops,OOE,,,Sweden,
Air Outre Mer,,,,France,
Air Pacific Crake,CRK,,,Philippines,
Air Paradise International,PRZ,AD,,Indonesia,http://www.airparadise.com.au
Air Peace Hopper,APL,,,Nigeria,https://www.flyairpeace.com/
Air Philip,APV,,PHILIP AIR,"Korea, Republic Of",https://www.airphilip.com/
Air Plus Comet,MPD,A7,,Spain,http://www.aircomet.com
Air Poitou Charentes,,,,France,
Air Polonia,APN,,,Poland,http://www.airpolonia.com
Air Provence Charter,LPU,,,France,
Air Rarotonga,,,,Cook Islands,http://www.airraro.com/
Air Sahara,RSH,S2,SAHARA,India,http://www.airsahara.net
Air Salzburg,,,,Austria,
Air Scandic,SCY,,,United Kingdom,http://www.airscandic.com
Air Scotland,,,,United Kingdom,http://www.air-scotland.com
Air Senegal,DSB,DS,,Senegal,http://www.air-senegal-international.com
Air Seoul,ASV,RS,AIR SEOUL,"Korea, Republic Of",http://www.flyairseoul.com/
Air Service Gabon,AGB,G8,,Gabon,
Air Services,RSV,,,France,
Air Shamrock Inc,,,,United States,
Air Sicilia,SIC,BM,,Italy,
Air Slovakia,SVK,GM,,Slovakia,http://www.airslovakia.sk
Air South,KKB,,,United States,
Air Southwest,WOW,WO,SWALLOW,United Kingdom,http://www.airsouthwest.com
Air Srpska,SBK,R6,AIR SRPSKA,Bosnia And Herzegovina,
Air Stord,SOR,GO,AIR STORD,Norway,
Air Sul,SUL,FK,,Portugal,
Air Sweden,SNX,,SNOWFLAKE,Sweden,http://www.airsweden.net/
Air Sylhet,SHR,SL,SYLHET,Austria,
Air Tahiti Nui,THT,TN,TAHITI AIRLINES,French Polynesia,https://www.airtahitinui.com/
Air Tanzania,ATC,TC,TANZANIA,"Tanzania, United Republic Of",https://www.airtanzania.co.tz/
Air Taraba,,,,Nigeria,
Air Togo,TGA,YT,,Togo,
Air Train,,GJ,AIR TRAIN,United States,
Air Transport International,ATN,8C,AIR TRANSPORT,United States,https://www.airtransport.cc/
Air Truck,TRK,ZH,,Spain,
Air Minas Linhas Aéreas,AMG,,AIR MINAS,Brazil,http://www.airminas.com.br
Air N.S.W.,NSW,,,Australia,
Air National,ANE,,,United States,
Air Nelson,RLK,NZ,LINK,New Zealand,http://www.airnelson.co.nz/
Air Next,NXA,7A,BLUE DOLPHIN,Japan,http://www.airnext.ana-g.com
Air Niger,AWN,AW,ALPHA WHISKEY,Niger,
Air Nippon,ANK,EL,ANK AIR,Japan,http://www.air-nippon.co.jp
Air Niugini,ANG,PX,NIUGINI,Papua New Guinea,http://www.airniugini.com.pg
Air Nostrum,ANE,YW,NOSTRUM AIR,Spain,http://www.airnostrum.es
Air Omega,AOW,,,Germany,
Air One,ADH,AP,HERON,Italy,http://www.flyairone.it
Air One LLC,,,,United States,
